network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
ES,NET_ES206A,CCAA Cantabria,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_39008001_6_48,ES.BDCA.AQD,-3.8419400000000006,43.40444,EPSG:4979,ES1576A,STA_ES1576A,ESTACIÓN DEL MEDITERRANEO,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:08+01:00,2021-12-05 02:49:22+01:00,0.2,1,3,16,mg/m3
ES,NET_ES206A,CCAA Cantabria,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_39016003_6_48,ES.BDCA.AQD,-3.8411100000000005,43.42083,EPSG:4979,ES1577A,STA_ES1577A,PARQUE DE CROSS,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:52:43+01:00,2021-12-05 03:50:51+01:00,0.2,1,3,10,mg/m3
ES,NET_ES208A,CCAA Castilla y León,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_34120008_6_48,ES.BDCA.AQD,-4.53833333,42.019444439999994,EPSG:4979,ES1922A,STA_ES1922A,PALENCIA 3,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:03+01:00,2021-12-04 16:39:14+01:00,0.3,1,3,953,mg/m3
ES,NET_ES206A,CCAA Cantabria,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_39087003_6_48,ES.BDCA.AQD,-4.06417,43.34639,EPSG:4979,ES1038A,STA_ES1038A,ZAPATÓN,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:48:13+01:00,2021-12-06 00:44:51+01:00,0.2,1,3,20,mg/m3
ES,NET_ES209A,CCAA Cataluña,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_08102005_6_48,ES.BDCA.AQD,1.6259,41.5776,EPSG:4979,ES1135A,STA_ES1135A,Igualada (la Masuca),ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:48:19+01:00,2021-12-05 23:48:03+01:00,0.3,1,3,284,mg/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_28102001_6_48,ES.BDCA.AQD,-3.2211000000000003,40.28759999999999,EPSG:4979,ES1806A,STA_ES1806A,ORUSCO DE TAJUÑA,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:47:56+01:00,2021-12-05 23:47:51+01:00,0.2,1,3,795,mg/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_46010001_6_48,ES.BDCA.AQD,-0.33666666,39.70527777,EPSG:4979,ES1911A,STA_ES1911A,ALBALAT DELS TARONGERS,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:19+01:00,2021-12-04 16:39:21+01:00,0.1,1,3,320,mg/m3
ES,NET_ES217A,CCAA La Rioja,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_26019001_6_48,ES.BDCA.AQD,-2.239,42.44,EPSG:4979,ES1779A,STA_ES1779A,ARRÚBAL,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:53:26+01:00,2021-12-05 03:51:36+01:00,0.35,1,3,336,mg/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_12046001_6_48,ES.BDCA.AQD,-0.46833333,40.05416666,EPSG:4979,ES1689A,STA_ES1689A,CIRAT,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:12+01:00,2021-12-04 16:39:17+01:00,0.1,1,3,466,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_41091018_6_48,ES.BDCA.AQD,-5.97963,37.34718999999998,EPSG:4979,ES1638A,STA_ES1638A,BERMEJALES,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:12:53+01:00,2021-12-04 16:58:06+01:00,0.165,1,3,26,mg/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_46017002_6_48,ES.BDCA.AQD,-0.4577777699999999,39.14999999999999,EPSG:4979,ES1617A,STA_ES1617A,ALZIRA,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:52:54+01:00,2021-12-05 02:55:07+01:00,0.1,1,3,60,mg/m3
ES,NET_ES209A,CCAA Cataluña,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_17079003_6_48,ES.BDCA.AQD,2.816547298,41.976385750999995,EPSG:4979,ES1999A,STA_ES1999A,Girona (Escola de Música),ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:53:20+01:00,2021-12-05 02:55:48+01:00,0.7,1,3,73,mg/m3
ES,NET_ES209A,CCAA Cataluña,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_08279011_6_48,ES.BDCA.AQD,2.007401267,41.556115398,EPSG:4979,ES1018A,STA_ES1018A,Terrassa (Pare Alegre),ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:53:22+01:00,2021-12-05 02:55:52+01:00,0.2,1,3,261,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_29067006_6_48,ES.BDCA.AQD,-4.4475,36.71963999999999,EPSG:4979,ES1750A,STA_ES1750A,CARRANQUE,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:12:48+01:00,2021-12-04 16:58:01+01:00,0.186,1,3,36,mg/m3
ES,NET_ES209A,CCAA Cataluña,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_08019043_6_48,ES.BDCA.AQD,2.15382196,41.385343284,EPSG:4979,ES1438A,STA_ES1438A,Barcelona (l'Eixample),ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:04+01:00,2021-12-04 16:39:14+01:00,0.2,1,3,26,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_29067006_6_48,ES.BDCA.AQD,-4.4475,36.71963999999999,EPSG:4979,ES1750A,STA_ES1750A,CARRANQUE,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:48:26+01:00,2021-12-06 00:45:03+01:00,0.237,1,3,36,mg/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_03065006_6_48,ES.BDCA.AQD,-0.68277777,38.24222222,EPSG:4979,ES1624A,STA_ES1624A,ELX-AGROALIMENTARI,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:52:54+01:00,2021-12-05 02:55:07+01:00,0.1,1,3,44,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_23050003_6_48,ES.BDCA.AQD,-3.7815699999999994,37.78255000000001,EPSG:4979,ES1656A,STA_ES1656A,RONDA DEL VALLE,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:07+01:00,2021-12-04 16:58:17+01:00,0.561,1,3,480,mg/m3
ES,NET_ES021A,Ayto Zaragoza,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_50297026_6_48,ES.BDCA.AQD,-0.87111,41.670279999999984,EPSG:4979,ES1044A,STA_ES1044A,EL PICARRAL,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:17+01:00,2021-12-04 16:39:20+01:00,0.23,1,3,195,mg/m3
ES,NET_ES208A,CCAA Castilla y León,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_47186027_6_48,ES.BDCA.AQD,-4.73027777,41.64555554999999,EPSG:4979,ES1631A,STA_ES1631A,ARCO DE LADRILLO II,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:12+01:00,2021-12-04 16:39:17+01:00,0.6,1,3,700,mg/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_03105001_6_48,ES.BDCA.AQD,-1.06472222,38.45166666,EPSG:4979,ES1913A,STA_ES1913A,EL PINÓS,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:11+01:00,2021-12-04 16:39:17+01:00,0.1,1,3,642,mg/m3
ES,NET_ES209A,CCAA Cataluña,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_08019043_6_48,ES.BDCA.AQD,2.15382196,41.385343284,EPSG:4979,ES1438A,STA_ES1438A,Barcelona (l'Eixample),ES.BDCA.AQD,2021-12-05 07:00:00+01:00,2021-12-05 08:00:00+01:00,2021-12-05 07:52:14+01:00,2021-12-05 08:49:01+01:00,0.2,1,3,26,mg/m3
ES,NET_ES209A,CCAA Cataluña,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_08019043_6_48,ES.BDCA.AQD,2.15382196,41.385343284,EPSG:4979,ES1438A,STA_ES1438A,Barcelona (l'Eixample),ES.BDCA.AQD,2021-12-05 00:00:00+01:00,2021-12-05 01:00:00+01:00,2021-12-05 00:51:06+01:00,2021-12-05 01:49:13+01:00,0.2,1,3,26,mg/m3
ES,NET_ES208A,CCAA Castilla y León,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_24089006_6_48,ES.BDCA.AQD,-5.587222220000001,42.60388887999999,EPSG:4979,ES1161A,STA_ES1161A,BARRIO PINILLA,ES.BDCA.AQD,2021-12-05 00:00:00+01:00,2021-12-05 01:00:00+01:00,2021-12-05 00:51:46+01:00,2021-12-06 11:53:43+01:00,,-1,3,838,mg/m3
ES,NET_ES203A,CCAA Asturias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_33031032_6_48,ES.BDCA.AQD,-5.6796,43.29409999999999,EPSG:4979,ES1353A,STA_ES1353A,SAMA I,ES.BDCA.AQD,2021-12-05 00:00:00+01:00,2021-12-05 01:00:00+01:00,2021-12-05 00:51:37+01:00,2021-12-05 01:49:47+01:00,0.15,1,3,216,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_35016012_6_48,ES.BDCA.AQD,-15.432823000000003,28.13373199999999,EPSG:4979,ES1573A,STA_ES1573A,MERCADO CENTRAL,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:12:54+01:00,2021-12-06 11:51:50+01:00,,-1,3,11,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_20016001_6_48,ES.BDCA.AQD,-2.155,43.250555549999994,EPSG:4979,ES1599A,STA_ES1599A,PAGOETA,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:14+01:00,2021-12-04 16:58:23+01:00,0.27,1,3,225,mg/m3
ES,NET_ES207A,CCAA Cast. la Mancha,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_02003001_6_48,ES.BDCA.AQD,-1.8521,38.9793,EPSG:4979,ES1535A,STA_ES1535A,ALBACETE,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:17+01:00,2021-12-04 16:39:20+01:00,0.12,1,3,686,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_41091009_6_48,ES.BDCA.AQD,-6.0031,37.39451999999999,EPSG:4979,ES0890A,STA_ES0890A,TORNEO,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:53:22+01:00,2021-12-05 02:55:53+01:00,0.614,1,3,17,mg/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_03014009_6_48,ES.BDCA.AQD,-0.5138888800000001,38.35111111,EPSG:4979,ES1968A,STA_ES1968A,ALACANT - RABASSA,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:12:50+01:00,2021-12-04 16:39:06+01:00,0.1,1,3,20,mg/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_28016001_6_48,ES.BDCA.AQD,-3.4679,40.909,EPSG:4979,ES1802A,STA_ES1802A,EL ATAZAR,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:18+01:00,2021-12-04 16:39:20+01:00,0.4,1,3,995,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_23097001_6_48,ES.BDCA.AQD,-3.01022,38.174395999999994,EPSG:4979,ES1718A,STA_ES1718A,VILLANUEVA DEL ARZOBISPO,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:03+01:00,2021-12-04 16:58:15+01:00,0.35,1,3,691,mg/m3
ES,NET_ES209A,CCAA Cataluña,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_08125002_6_48,ES.BDCA.AQD,2.188296656,41.48201627899999,EPSG:4979,ES0584A,STA_ES0584A,Montcada i Reixac (pl. de Lluís Companys),ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:52:54+01:00,2021-12-05 02:55:07+01:00,0.2,1,3,34,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_41004006_6_48,ES.BDCA.AQD,-5.83372,37.34246,EPSG:4979,ES1640A,STA_ES1640A,ALCALÁ DE GUADAIRA,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:52:42+01:00,2021-12-05 02:54:55+01:00,0.609,1,3,68,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_11031001_6_48,ES.BDCA.AQD,-6.20307,36.46059000000001,EPSG:4979,ES1593A,STA_ES1593A,SAN FERNANDO,ES.BDCA.AQD,2021-12-05 11:00:00+01:00,2021-12-05 12:00:00+01:00,2021-12-05 11:49:45+01:00,2021-12-06 11:54:08+01:00,,-1,3,35,mg/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_46220010_6_48,ES.BDCA.AQD,-0.26583333,39.63416666,EPSG:4979,ES1884A,STA_ES1884A,SAGUNT CEA,ES.BDCA.AQD,2021-12-05 11:00:00+01:00,2021-12-05 12:00:00+01:00,2021-12-05 11:49:46+01:00,2021-12-05 12:46:53+01:00,0.1,1,3,3,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_41091016_6_48,ES.BDCA.AQD,-6.00558,37.375249999999994,EPSG:4979,ES1425A,STA_ES1425A,PRINCIPES,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:23+01:00,2021-12-04 16:58:30+01:00,0.595,1,3,9,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_10182001_6_48,ES.BDCA.AQD,-5.939720000000001,39.84917,EPSG:4979,ES1616A,STA_ES1616A,MONFRAGÜE,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:23+01:00,2021-12-04 16:39:22+01:00,0.22,1,3,376,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_11006001_6_48,ES.BDCA.AQD,-5.74372,36.73975,EPSG:4979,ES1821A,STA_ES1821A,ARCOS,ES.BDCA.AQD,2021-12-05 11:00:00+01:00,2021-12-05 12:00:00+01:00,2021-12-05 11:50:10+01:00,2021-12-05 13:49:57+01:00,0.362,1,3,216,mg/m3
ES,NET_ES203A,CCAA Asturias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_33011001_6_48,ES.BDCA.AQD,-6.552699999999999,43.1788,EPSG:4979,ES1432A,STA_ES1432A,CANGAS DEL NARCEA,ES.BDCA.AQD,2021-12-05 11:00:00+01:00,2021-12-05 12:00:00+01:00,2021-12-05 11:51:31+01:00,2021-12-06 11:57:58+01:00,,-1,3,363,mg/m3
