network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_28180001_9_49,ES.BDCA.AQD,-3.2766,40.1672,EPSG:4979,ES1811A,STA_ES1811A,VILLAREJO DE SALVANES,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:12:57+01:00,2021-12-04 16:39:10+01:00,13,1,3,761,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_38038025_9_46,ES.BDCA.AQD,-16.271836,28.456659999999985,EPSG:4979,ES2020A,STA_ES2020A,GARCÍA ESCÁMEZ-STA CRUZ DE TF,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:02+01:00,2021-12-04 16:39:13+01:00,25,1,3,119,ug/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_28180001_9_49,ES.BDCA.AQD,-3.2766,40.1672,EPSG:4979,ES1811A,STA_ES1811A,VILLAREJO DE SALVANES,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:48:38+01:00,2021-12-06 01:50:11+01:00,9,1,3,761,ug/m3
ES,NET_ES203A,CCAA Asturias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_33024031_9_49,ES.BDCA.AQD,-5.670700000000001,43.51659999999999,EPSG:4979,ES1974A,STA_ES1974A,MONTEVIL,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:21+01:00,2021-12-04 16:58:29+01:00,6,1,3,51,ug/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_28016001_9_49,ES.BDCA.AQD,-3.4679,40.909,EPSG:4979,ES1802A,STA_ES1802A,EL ATAZAR,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:12:52+01:00,2021-12-04 16:39:07+01:00,15,1,3,995,ug/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_28047002_9_49,ES.BDCA.AQD,-4.01425,40.63389999999999,EPSG:4979,ES1803A,STA_ES1803A,COLLADO VILLALBA,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:15+01:00,2021-12-04 16:39:19+01:00,9,1,3,873,ug/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_28016001_9_49,ES.BDCA.AQD,-3.4679,40.909,EPSG:4979,ES1802A,STA_ES1802A,EL ATAZAR,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:48:32+01:00,2021-12-05 23:48:15+01:00,3,1,3,995,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_35017003_9_49,ES.BDCA.AQD,-13.860830000000002,28.49838,EPSG:4979,ES1978A,STA_ES1978A,CASA PALACIO-PUERTO DEL ROSARIO,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:05+01:00,2021-12-04 16:39:14+01:00,14,1,3,23,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_38038024_9_49,ES.BDCA.AQD,-16.27675,28.455374999999993,EPSG:4979,ES2003A,STA_ES2003A,TENA ARTIGAS-STA CRUZ DE TENERIFE,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:48:00+01:00,2021-12-05 23:47:54+01:00,7,1,3,169,ug/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_28120001_9_49,ES.BDCA.AQD,-3.9611999999999994,40.825100000000006,EPSG:4979,ES2093A,STA_ES2093A,PUERTO DE COTOS,ES.BDCA.AQD,2021-12-05 00:00:00+01:00,2021-12-05 01:00:00+01:00,2021-12-05 00:57:46+01:00,2021-12-06 12:00:02+01:00,,-1,3,1200,ug/m3
ES,NET_ES214A,CCAA Murcia,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_30016020_9_A,ES.BDCA.AQD,-0.97527777,37.60305554999999,EPSG:4979,ES1921A,STA_ES1921A,MOMPEAN,ES.BDCA.AQD,2021-12-05 00:00:00+01:00,2021-12-05 01:00:00+01:00,2021-12-05 00:58:05+01:00,2021-12-05 01:56:04+01:00,16,1,3,10,ug/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_28047002_9_49,ES.BDCA.AQD,-4.01425,40.63389999999999,EPSG:4979,ES1803A,STA_ES1803A,COLLADO VILLALBA,ES.BDCA.AQD,2021-12-05 07:00:00+01:00,2021-12-05 08:00:00+01:00,2021-12-05 07:52:32+01:00,2021-12-05 08:49:10+01:00,3,1,3,873,ug/m3
ES,NET_ES213A,CCAA Madrid,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_28047002_9_49,ES.BDCA.AQD,-4.01425,40.63389999999999,EPSG:4979,ES1803A,STA_ES1803A,COLLADO VILLALBA,ES.BDCA.AQD,2021-12-05 00:00:00+01:00,2021-12-05 01:00:00+01:00,2021-12-05 00:51:16+01:00,2021-12-05 01:49:24+01:00,3,1,3,873,ug/m3
ES,NET_ES203A,CCAA Asturias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_33066004_9_49,ES.BDCA.AQD,-5.8027999999999995,43.401499999999984,EPSG:4979,ES2051A,STA_ES2051A,LUGONES INSTITUTO,ES.BDCA.AQD,2021-12-06 10:00:00+01:00,2021-12-06 11:00:00+01:00,2021-12-06 11:02:13+01:00,2021-12-06 11:59:17+01:00,,-1,3,170,ug/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_46250048_9_46,ES.BDCA.AQD,-0.4083,39.481099999999984,EPSG:4979,ES1926A,STA_ES1926A,VALÈNCIA - MOLÍ DEL SOL,ES.BDCA.AQD,2021-12-05 00:00:00+01:00,2021-12-05 01:00:00+01:00,2021-12-05 00:51:27+01:00,2021-12-05 02:49:46+01:00,6,1,3,11,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_35004002_9_49,ES.BDCA.AQD,-13.555856,28.967870000000005,EPSG:4979,ES1955A,STA_ES1955A,CIUDAD DEPORTIVA-ARRECIFE,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:48:14+01:00,2021-12-05 23:48:00+01:00,6,1,3,22,ug/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_46077006_9_46,ES.BDCA.AQD,-0.78388888,39.42722221999999,EPSG:4979,ES1886A,STA_ES1886A,BUÑOL CEMEX,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:53:25+01:00,2021-12-06 11:57:22+01:00,,-1,3,400,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_38038022_9_46,ES.BDCA.AQD,-16.278776,28.45815999999999,EPSG:4979,ES1975A,STA_ES1975A,DEPÓSITO TRISTÁN-STA CRUZ DE TF,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:12:48+01:00,2021-12-04 16:39:04+01:00,23,1,3,200,ug/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_46102002_9_46,ES.BDCA.AQD,-0.44722222,39.48111111,EPSG:4979,ES1181A,STA_ES1181A,QUART DE POBLET,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:01+01:00,2021-12-04 16:39:13+01:00,1,1,3,41,ug/m3
ES,NET_ES207A,CCAA Cast. la Mancha,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_13071016_9_49,ES.BDCA.AQD,-4.1083,38.680699999999995,EPSG:4979,ES1277A,STA_ES1277A,INSTITUTO Nº 3,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:12:46+01:00,2021-12-04 16:39:02+01:00,3,1,3,675,ug/m3
ES,NET_ES207A,CCAA Cast. la Mancha,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_13071016_9_49,ES.BDCA.AQD,-4.1083,38.680699999999995,EPSG:4979,ES1277A,STA_ES1277A,INSTITUTO Nº 3,ES.BDCA.AQD,2021-12-05 22:00:00+01:00,2021-12-05 23:00:00+01:00,2021-12-05 22:48:22+01:00,2021-12-05 23:48:06+01:00,12,1,3,675,ug/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_12040010_9_46,ES.BDCA.AQD,0.010555550000000002,39.98194443999999,EPSG:4979,ES1445A,STA_ES1445A,CASTELLÓ-GRAU,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:12:52+01:00,2021-12-04 16:39:07+01:00,5,1,3,10,ug/m3
ES,NET_ES210A,CCAA Com. Valenciana,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_46220010_9_46,ES.BDCA.AQD,-0.26583333,39.63416666,EPSG:4979,ES1884A,STA_ES1884A,SAGUNT CEA,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:18+01:00,2021-12-04 16:39:20+01:00,1,1,3,3,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_38006002_9_46,ES.BDCA.AQD,-16.653023,28.072549999999993,EPSG:4979,ES1767A,STA_ES1767A,BUZANADA,ES.BDCA.AQD,2021-12-05 01:00:00+01:00,2021-12-05 02:00:00+01:00,2021-12-05 01:53:25+01:00,2021-12-05 02:56:01+01:00,16,1,3,308,ug/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM2.5,SP_38017002_9_46,ES.BDCA.AQD,-16.559855,28.080007,EPSG:4979,ES1761A,STA_ES1761A,SAN ISIDRO,ES.BDCA.AQD,2021-12-04 14:00:00+01:00,2021-12-04 15:00:00+01:00,2021-12-04 16:13:40+01:00,2021-12-04 16:39:30+01:00,18,1,3,235,ug/m3
